Token Number    Value
271             main
123             {
270             a
61              =
258             10
59              ;
270             b
61              =
258             5
59              ;
270             c
61              =
270             a
43              +
270             b
59              ;
270             d
61              =
270             a
45              -
270             b
59              ;
270             e
61              =
270             a
42              *
270             b
59              ;
270             f
61              =
270             a
47              /
270             b
59              ;
275             imprime
40              (
270             c
41              )
59              ;
275             imprime
40              (
270             d
41              )
59              ;
275             imprime
40              (
270             e
41              )
59              ;
275             imprime
40              (
270             f
41              )
59              ;
125             }
